# Wavelength Transmittance 
# Filter Q 
# lambda eff:20.9mu
# (um)               (%) 
1.4465500E+00        6.3999996E-06
1.1570000E-03        2.8392961E+00
1.4467590E+00        -6.7499997E-05
-7.1569998E-04       2.8401020E+00
1.4469690E+00        -1.2249999E-04
-2.4488000E-03       2.8409090E+00
1.4471780E+00        -1.4090000E-04
-3.5319000E-03       2.8417161E+00
1.4473870E+00        -1.2659999E-04
-3.6065998E-03       2.8425241E+00
1.4475970E+00        -9.6600001E-05
-2.6146998E-03       2.8433321E+00
1.4478070E+00        -6.6499997E-05
-8.7809999E-04       2.8441410E+00
1.4480160E+00        -4.7399997E-05
1.0507000E-03        2.8449500E+00
1.4482260E+00        -4.3900000E-05
2.6003998E-03        2.8457601E+00
1.4484360E+00        -4.9800001E-05
3.4850000E-03        2.8465700E+00
1.4486450E+00        -5.5999997E-05
3.8153999E-03        2.8473799E+00
1.4488550E+00        -5.4799995E-05
3.9275000E-03        2.8481910E+00
1.4490650E+00        -4.6999998E-05
4.0139998E-03        2.8490031E+00
1.4492750E+00        -3.7899998E-05
3.8732998E-03        2.8498149E+00
1.4494849E+00        -2.9299999E-05
3.1723999E-03        2.8506269E+00
1.4496959E+00        -1.6000000E-05
1.9566999E-03        2.8514400E+00
1.4499060E+00        9.2999999E-06
8.1040000E-04        2.8522530E+00
1.4501160E+00        4.8899998E-05
3.5999998E-04        2.8530669E+00
1.4503260E+00        9.2999995E-05
6.1839999E-04        2.8538809E+00
1.4505370E+00        1.2590000E-04
8.8599999E-04        2.8546960E+00
1.4507470E+00        1.3350000E-04
4.0819997E-04        2.8555110E+00
1.4509580E+00        1.1590000E-04
-8.8739995E-04       2.8563271E+00
1.4511679E+00        8.6299995E-05
-2.3348001E-03       2.8571429E+00
1.4513789E+00        6.1300001E-05
-3.1799998E-03       2.8579600E+00
1.4515890E+00        4.8400001E-05
-3.2005000E-03       2.8587761E+00
1.4518000E+00        4.6199995E-05
-2.7288999E-03       2.8595941E+00
1.4520110E+00        5.3599997E-05
-2.2475999E-03       2.8604119E+00
1.4522220E+00        6.6999994E-05
-2.0013000E-03       2.8612299E+00
1.4524330E+00        7.8400000E-05
-1.9526000E-03       2.8620491E+00
1.4526440E+00        7.8400000E-05
-1.9860000E-03       2.8628690E+00
1.4528550E+00        5.9799997E-05
-2.0949999E-03       2.8636880E+00
1.4530660E+00        2.8400000E-05
-2.3608000E-03       2.8645091E+00
1.4532770E+00        2.0999998E-06
-2.8005000E-03       2.8653302E+00
1.4534880E+00        0.0E+00
-3.2278998E-03       2.8661511E+00
1.4536999E+00        2.8400000E-05
-3.3634000E-03       2.8669720E+00
1.4539109E+00        7.1499999E-05
-3.0382001E-03       2.8677950E+00
1.4541219E+00        1.0510000E-04
-2.3308001E-03       2.8686171E+00
1.4543340E+00        1.1470000E-04
-1.4636999E-03       2.8694410E+00
1.4545450E+00        1.0440000E-04
-5.0209998E-04       2.8702641E+00
1.4547570E+00        8.9399997E-05
7.1639998E-04        2.8710880E+00
1.4549690E+00        7.9600002E-05
2.3222000E-03        2.8719130E+00
1.4551800E+00        7.4399999E-05
4.0630996E-03        2.8727379E+00
1.4553920E+00        6.2899999E-05
5.3196000E-03        2.8735631E+00
1.4556040E+00        4.1700001E-05
5.5658999E-03        2.8743889E+00
1.4558160E+00        1.6200000E-05
4.8858998E-03        2.8752160E+00
1.4560280E+00        -2.6000000E-06
3.9911000E-03        2.8760431E+00
1.4562401E+00        -8.2999995E-06
3.6793000E-03        2.8768699E+00
1.4564520E+00        -4.2999995E-06
