wavelength,vis,nir
390.0,0.0422201571651291,0.0
415.0,0.1049210777629397,0.0
440.0,0.1329859924436803,0.0
450.0,0.0,0.0
460.0,0.0,0.0
470.0,0.0,0.0
500.0,0.0,0.0
510.0,0.1832892235205148,0.0
535.0,0.1912524175545844,0.0
560.0,0.1961489881363956,0.0
570.0,0.0,0.0
590.0,0.0,0.0
610.0,0.2297937818495455,0.0
635.0,0.238821809723014,0.0
660.0,0.2452765936483194,0.0
685.0,0.2402851011510146,0.0
710.0,0.2430522310094908,0.0
720.0,0.0,0.0
750.0,0.0,0.0
790.0,0.0,0.0
800.0,0.2315973083305773,0.0
825.2,0.1759380397305705,0.0
850.0,0.2361498290226807,0.0
875.0,0.2357075094068997,0.0
900.0,0.2323501633309727,0.0
925.0,0.220438809178476,0.0
930.0,0.0,0.0
940.0,0.0,0.0
950.0,0.0,0.0
975.0,0.0,0.0
1000.0,0.0,0.0
1100.0,0.0,0.0
1200.0,0.0,0.0
1300.0,0.0,0.0
1400.0,0.0,0.0
1500.0,0.0,0.0
1520.0,0.0,0.0
1523.0,0.0,0.1917050886066826
1548.0,0.0,0.269122911213977
1573.0,0.0,0.2640494988869773
1598.0,0.0,0.2732827769309444
1623.0,0.0,0.2195271761233122
1630.0,0.0,0.0
