wavelength,vis,nir
390.0,0.0606956688352313,0.0
415.0,0.1306815012758071,0.0
440.0,0.1727998204663727,0.0
465.0,0.2096376067453299,0.0
490.0,0.2222005822299178,0.0
515.0,0.2279892906276583,0.0
540.0,0.234415873205537,0.0
565.0,0.229512068097325,0.0
589.0,0.2300376395740885,0.0
590.0,0.2133859479030071,0.0
615.0,0.2278125893219924,0.0
640.0,0.2487243516428317,0.0
665.0,0.2619068429655439,0.0
690.0,0.256418220393876,0.0
715.0,0.2663702765438501,0.0
740.0,0.2639525603576639,0.0
765.0,0.2629919338779078,0.0
790.0,0.2543681351828036,0.0
815.0,0.2180843293731055,0.0
840.0,0.2279986614096201,0.0
865.0,0.2501005922253304,0.0
890.0,0.2378801017614825,0.0
915.0,0.2279678380253877,0.0
940.0,0.1035744867986001,0.0
950.0,0.0,0.0286691279247895
975.0,0.0,0.2288604805738573
1000.0,0.0,0.2380321539545113
1025.0,0.0,0.2493029314134678
1050.0,0.0,0.2557098583079119
1075.0,0.0,0.2692467107321981
1100.0,0.0,0.2737131131595076
1125.0,0.0,0.1589115552923047
1150.0,0.0,0.2607199372447854
1175.0,0.0,0.2842687879399627
1200.0,0.0,0.2924273554504424
1225.0,0.0,0.2900177897215995
1250.0,0.0,0.2869251327384705
1275.0,0.0,0.2844230524725701
1300.0,0.0,0.279273964604586
1325.0,0.0,0.2736303420757455
1350.0,0.0,0.214628183250241
1375.0,0.0,0.0560566915035442
1420.0,0.0,0.0386128762399124
1445.0,0.0,0.2139892543462822
1470.0,0.0,0.2792020032109035
1495.0,0.0,0.29315581279248
1520.0,0.0,0.3071017306757796
1545.0,0.0,0.3080010915632485
1570.0,0.0,0.2713616841780519
1595.0,0.0,0.3032925012741273
1620.0,0.0,0.3149418690159088
1645.0,0.0,0.3093248541488569
1670.0,0.0,0.3166743766362698
1695.0,0.0,0.3120211379074929
1720.0,0.0,0.2991202618311402
1745.0,0.0,0.3038036328909547
1770.0,0.0,0.3022129595007778
1795.0,0.0,0.2939121140396941
1810.0,0.0,0.0
